اسم الأكله,وقت الوجبة,عدد الاشخاص,الوقت,السعرات الحرايه,المقادير,التحضير,الصورة
      مفلق حساوي باللحم          ,غداء,    6 أشخاص    ,    180 دقيقة    ,    712 سعرة حرارية    ,"      2 كوب (400 جم) جريش محمص.  ,   ½ كيلو (500 جم) لحم.  ,   ½ كوب (100 جم) زبد.  ,   2 ثمرة بصل مفروم ناعمًا.  ,   3 ثمرات طماطم مقطعة.  ,   2 ثمرة فلفل أخضر مقطع.  ,   2 ملعقة كبيرة (25 جم) صلصة طماطم.  ,   2 ثمرة ليمون أسود.  ,   2 عود قرفة.  ,   3 حبات هيل.  ,   ملعقة صغيرة (5 جم) بهارات مشكلة.  ,   ½ ملعقة صغيرة (2.5 جم) كركم.  ,   ملح وفلفل أسود.  ,   بيض مسلوق للتقديم.      ","      على نار متوسطة، سخني الزبد ثم أضيفي البصل وقلبي حتى يكتسب لونًا ذهبيًا.  ,   أضيفي الفلفل الأخضر والطماطم وصلصلة الطماطم، وقلبي جيدًا.  ,   أضيفي التوابل الصحيحة ثم التوابل الناعمة، وقلبي حتى تتجانس المكونات.  ,   أضيفي قطع اللحم وقلبي، ثم اغمري المكونات بالماء وخففي النار وغطي القدر، واتركي اللحم ينضج على نار هادئة.  ,   أضيفي الجريش المحمص، ثم غطي القدر واتركيها على النار حتى يتشرب الجريش المرق تمامًا.  ,   ضعي المفلق في طبق التقديم، وزيني الوجه بالبيض المسلوق وقدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/137/mobile-watermarked-large-card/03674dfcd06e7f67.jpg
      مفلق حساوي بالدجاج          ,غداء,    4 أشخاص    ,    105 دقيقة    ,    412.765 سعرة حرارية    ,"      2 كوب (360 جم) مفلق (حبات قمح مجروشة).  ,   2 كوب (500 مل) ماء مغلي.  ,   دجاجة (1500 جم) مقطعة ثماني قطع.  ,   بصلة كبيرة مفرومة ناعمًا.  ,   3 فصوص ثوم مهروسة.  ,   2 ثمرة طماطم متوسطتان مقطعتان مكعبات صغيرة.  ,   2 ثمرة فلفل أخضر رومي مقطعتان مكعبات صغيرة.  ,   ثمرة فلفل أخضر حار مفرومة.  ,   ⅓ كوب (10 جم) كزبرة طازجة مفرومة.  ,   2 ملعقة كبيرة (30 مل) زيت.  ,   ملعقة كبيرة (14 جم) سمن أو زبد.  ,   ملعقة كبيرة (14 جم) صلصة طماطم.  ,   ½ ملعقة صغيرة (1 جم) بهارات مشكلة.  ,   ½ ملعقة صغيرة (1 جم) كركم.  ,   ½ ملعقة صغيرة (1 جم) كمون مطحون.  ,   ½ ملعقة صغيرة (1 جم) ليمون أسود مجفف مطحون.  ,   ثمرة لومي (ليمون أسود مجفف)  ,   ملح وفلفل أسود.      ","      ضعي الزبد والزيت في قدر على نار متوسطة، واتركيهما حتى يذوب الزبد.  ,   أضيفي البصل وقلبي مدة دقيقتين، ثم أضيفي الثوم والفلفل الرومي، وقلبي مدة دقيقة.  ,   أضيفي الطماطم وصلصة الطماطم والبهارات والكركم والكمون والملح والفلفل الأسود واللومي، وقلبي جيدًا على نار هادئة، حتى تمتزج المكونات وتذبل الطماطم.  ,   أضيفي الدجاج، وقلبي مدة دقيقتين، ثم أضيفي الماء المغلي، واتركيه حتى يغلي.  ,   غطي القدر، واتركيه على نار هادئة مدة 30 دقيقة.  ,   ضعي المفلق في مقلاة كبيرة غير قابلة للالتصاق، وقلبيه مدة ثلاث دقائق حتى يُصبح لونه ذهبيًّا.  ,   أضيفي المفلق إلى الدجاج، وقلبي جيدًا، ثم أضيفي مزيدًا من الماء المغلي حتى يغطي المفلق في حالة قلة كمية الماء.  ,   اتركي المفلق يغلي، ثم غطي القدر بورق قصدير، ثم بالغطاء الخاص به، واتركيه على نار هادئة مدة 30 – 45 دقيقة حتى ينضج.  ,   ضعي المفلق في طبق التقديم، وزينيه بالكزبرة الخضراء، وقدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/176/mobile-watermarked-large-card/224e1684eca62024.jpg
      ورق عنب بالتمر الهندي          ,غداء,    6 أشخاص    ,    105 دقيقة    ,    494.68 سعرة حرارية    ,"      ½ كيلو (500 جم) ورق عنب مسلوق.  ,   ½ كيلو (500 جم) طماطم معصورة.  ,   3 أكواب (555 جم) أرز أبيض.  ,   حزمة بقدونس مفرومة.  ,   حزمة شبت طازجة مفرومة.  ,   حزمة كزبرة طازجة مفرومة.  ,   2 ملعقة كبيرة (28 جم) صلصة طماطم.  ,   2 بصلة كبيرة مفرومتان ناعمًا.  ,   2 ملعقة كبيرة (30 مل) زيت.  ,   ½ ملعقة صغيرة (1 جم) فلفل أسود مطحون.  ,   ½ ملعقة صغيرة (1 جم) كزبرة جافة مطحونة.  ,   ½ ملعقة صغيرة (1 جم) كمون مطحون.  ,   ملعقة صغيرة (2 جم) بهارات سبعة.  ,   ملعقة صغيرة (5 جم) ملح.      ","      ضعي التمر الهندي والماء المغلي في وعاء، وقلبي جيدًا، ثم اتركيه جانبًا لتحضير ورق العنب.  ,   ضعي الأرز والبصل والطماطم والملح والبهارات والفلفل الأسود والكزبرة والكمون والزيت وصلصة الطماطم والطماطم والشبت والبقدونس والكزبرة في وعاء، وقلبي جيدًا حتى تمتزج المكونات.  ,   افردي ورقة العنب، واجعلي الجهة الخشنة لأعلى، ثم الأرز على طرف الورقة السفلى، واثني الجانبين إلى الداخل، ولفي الورقة كالرول.  ,   رصي شرائح البصل والطماطم والبطاطس في أسفل قدر الطهي، ثم ضعي محشي ورق العنب.  ,   صفي عصير التمر الهندي من البذور والقشور، ثم أضيفي عصير الليمون ودبس الرمان والملح والفلفل الأسود، وقلبي جيدًا.  ,   صبي عصير التمر الهندي فوق ورق العنب، ثم أضيفي المرق ببطء حتى تُغطي المحشي به.  ,   ضعي طبقًا فوق المحشي، حتى لا ينفتح الورق في أثناء الطهي، ثم ضعي القدر على نار متوسطة، واتركيه حتى يغلي المرق.  ,   غطي القدر، واتركيه على نار هادئة مدة 45 – 60 دقيقة، حتى ينضج الأرز.  ,   اقلبي المحشي في طبق التقديم، وتناولوه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/032/mobile-watermarked-large-card/7ce926e82c505406.jpg
      برياني عراقي          ,غداء,    6 أشخاص    ,    120 دقيقة    ,    677 سعرة حرارية    ,"      دجاجة (1200 جم) مقطعة أرباعًا.  ,   3 أكواب (600 جم) أرز بسمتي.  ,   كوب (200 جم) شعيرية.  ,   ثمرة بصل مقطعة أرباعًا  ,   3 ورقات لورا ""غار"".  ,   4 رؤوس حبهان ""هيل"".  ,   ½ ملعقة صغيرة (2.5 جم) فلفل أسود حب.  ,   ثمرة ليمون أسود مجفف ""لومي بصرة"".  ,   كوب (200 جم) بصل مفروم.  ,   ¾ كوب (150 جم) بسلة.  ,   ¾ كوب (150 جم) جزر مقطع مكعبات صغيرة.  ,   2 ملعقة كبيرة (25 جم) سمسم.  ,   ¼ كوب (50 جم) لوز مقشر.  ,   ¼ كوب (50 جم) زبيب.  ,   ½ ملعقة صغيرة (2.5 جم) قرنفل مطحون.  ,   ½ ملعقة صغيرة (2.5 جم) حبهان ""هيل"" مطحون.  ,   ½ ملعقة صغيرة (2.5 جم) قرفة مطحونة.  ,   ملعقة كبيرة (10 جم) بهارات برياني.  ,   ملح وفلفل أسود حسب الرغبة.  ,   زيت للتحمير.  ,   ماء ساخن لسلق الدجاج.      ","      في قدر كبيرة على نار متوسطة، سخني ملعقتين كبيرتين من الزيت، ثم ضعي الحبهان والفلفل الأسود الحب وورق الغار والليمون الأسود المجفف، وقطع الدجاج، ثم قلبي حتى يتغير لون الدجاج.  ,   أضيفي الماء الساخن إلى الدجاج، ثم غطي القدر واتركيه حتى ينضج.  ,   في أثناء سلق الدجاج، جهزي المكونات الأخرى، في مقلاة على نار متوسطة، سخني قليلًا من الزيت، ثم اقلي اللوز حتى يكتسب اللون الذهبي، ثم صفيه، ثم اقلي الزبيب لدقيقة، ثم صفيه، ثم ضعي البصل، وحمريه حتى يكتسب لونًا ذهبيًا فاتحًا.  ,   سخني زيتًا غزيرًا في مقلاة على نار متوسطة، ثم اقلي البطاطس، حتى تصبح ذهبية اللون ومقرمشة، ثم اسلقي الجزر والبسلة.  ,   في مقلاة على نار متوسطة، حمري الشعيرية في قليل من الزيت حتى تصبح ذهبية اللون، ثم أضيفي الملح وملعقة صغيرة سكرًا وقليلًا من الماء، ثم غطي المقلاة، واتركيها حتى تنضج الشعيرية وتتشرب الماء.  ,   انشلي الدجاج من المرق، ثم أزيلي العظم والجلد، وقطعي الدجاج شرائح متوسطة الحجم.  ,   حمري شرائح الدجاج في قليل من الزيت والسمن في مقلاة على نار متوسطة حتى يصبح لونها ذهبيًا.  ,   في قدر كبيرة، ضعي الأرز مع كوبين ونصف من مرق الدجاج، وتبليه ببهارات البرياني والحبهان المطحون والقرنفل والقرفة والفلفل الأسود والملح، ثم غطي القدر، واتركيها على نار هادئة حتى ينضج الأرز.  ,   في وعاء كبير، اخلطي الشعيرية مع الدجاج والبسلة والجزر والبطاطس والبصل واللوز والزبيب، ثم تبلي الخليط بالبهارات المشكلة والملح.  ,   اخلطي الأرز مع المكونات السابقة، ثم اغرفي البرياني في طبق التقديم، وقدميه مع سلطة الزبادي.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/002/mobile-watermarked-large-card/46de228db90b0e7b.jpg
      السليق الحجازي بالدجاج          ,غداء,    8 أشخاص    ,    80 دقيقة    ,    658 سعرة حرارية    ,"      دجاجتان (2400 جم) مقطعتان 8 قطع.  ,   2 ملعقة كبيرة (25 جم) سمن.  ,   ½ ملعقة صغيرة (2.5 جم) مستكة.  ,   ملعقة صغيرة (5 جم) فلفل أسود.  ,   2 ورق لورا ""غار"".  ,   6 رؤوس حبهان ""هيل.  ,   2 ثمرة بصل كبيرة الحجم مقطعتان أرباع.  ,   2 قرن فلفل أخضر حار.  ,   ماء لسلق الدجاج.  ,   ملح حسب الرغبة.      ","      في قدر كبيرة على نار متوسطة، أذيبي ملعقتي سمن، ثم حمري الدجاج حتى يتغير لونه.  ,   أضيفي المستكة والفلفل الأسود وورق اللورا والحبهان والبصل والفلفل الحار، ثم قلبي لدقيقة مع الدجاج.  ,   أضيفي الماء، ثم غطي القدر، واتركيها حتى ينضج الدجاج.  ,   انشلي الدجاج من المرق، ثم اخلطي معجون الطماطم مع الزبد والملح والفلفل الأسود، ثم ادهني الدجاج بالخليط، وحمريه في الفرن حتى يكتسب اللون البني.  ,   اغسلي الأرز جيدً، وانقعيه 20 دقيقة في الماء، ثم صفيه.  ,   صفي المرق من البصل والبهارات، ثم ضعي ثمانية أكواب في قدر مع الأرز، وتبليه بالملح والحبهان المطحون، ثم غطي القدر، واتركيه على نار هادئة حتى ينضج الأرز.  ,   أضيفي الحليب إلى الأرز، ثم قلبي مع هرس الأرز بملعقة خشبية والتقليب من حين لآخر.  ,   في مقلاة على نار متوسطة، أذيبي السمن، ثم اضيفي المستكة وقلبي حتى تذوب.  ,   صبي نصف كمية السمن فوق الأرز، ثم قلبي جيدًا.  ,   اغرفي السليق في طبق التقديم، ثم صبي بقية خليط السمن والمستكة على الوجه، ثم رصي الدجاج المحمر فوقه، وقدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/999/mobile-watermarked-large-card/a0e72c789a421f57.jpg
      ورق عنب كيتو          ,غداء,    8 أشخاص    ,    85 دقيقة    ,    279 سعرة حرارية    ,"      ½ كيلو (500 جم) ورق عنب مسلوق.  ,   2 ثمرة طماطم كبيرة مفرومة فرمًا ناعمًا.  ,   بصلة كبيرة مفرومة فرمًا ناعمًا.  ,   ¼ كيلو (250 جم) لحم مفروم.  ,   حزمة كزبرة طازجة مفرومة.  ,   حزمة شبت طازج مفروم.  ,   حزمة بقدونس طازج مفروم.  ,   3 ملاعق كبيرة (45 مل) زيت زيتون.  ,   ½ ملعقة كبيرة (6.25 جم) زبد.  ,   4 ملاعق كبيرة (50 جم) صلصة طماطم.  ,   3 ملاعق كبيرة (45 مل) عصير ليمون.  ,   ½ ملعقة صغيرة (2.5 جم) كمون مطحون.  ,   ملح وفلفل أسود.  ,   بصل مقطع حلقات.  ,   طماطم مقطعة شرائح.      ","      على نار متوسطة، سخني الزيت والزبد، ثم أضيفي البصل المفروم وقلبيه حتى يذبل.  ,   أضيفي الطماطم المفرومة والملح والفلفل الأسود والصلصة، واتركيها على نار هادئة عشر دقائق.  ,   أضيفي الكزبرة والبقدونس والشبت والكمون، وقلبي دقيقتين.  ,   أضيفي اللحم المفروم، وقلبيه عشر دقائق حتى يتغير لونه.  ,   افردي ورقة العنب حتى يكون الجزء الناعم لأسفل، ثم ضعي الأرز في طرف الورقة، ولفيها مع ثني جانبي الورقة إلى الداخل.  ,   رصي حلقات البصل وشرائح الطماطم في قدر كبيرة، ثم رصي ورق العنب فوقها وأضيفي عصير الليمون.  ,   اغمري ورق العنب بمرق دجاج أو لحم، ثم ضعيه على نار متوسطة واتركيه حتى يغلي.  ,   غطي القدر، واتركيها على نار هادئة جدًا 40 دقيقة حتى ينضج.  ,   ارفعي ورق العنب عن النار، ورصيه في طبق التقديم وقدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/014/mobile-watermarked-large-card/421325249f83935c.jpg
      أرز حساوي باللحم          ,غداء,    4 أشخاص    ,    60 دقيقة    ,    514 سعرة حرارية    ,"      2 كوب (400 جم) أرز حساوي أسمر ""غير مقشور"".  ,   ½ كيلو (500 جم) لحم ضأن.  ,   ¾ كوب (150 جم) بصل مفروم.  ,   2 ملعقة كبيرة (30 مل) زيت.  ,   3 فصوص ثوم.  ,   2 عود قرفة.  ,   4 رؤوس هيل ""حبهان"".  ,   4 رؤوس قرنفل.  ,   ثمرة لومي أسود ""ليمون مجفف"".  ,   كوب (200 جم) طماطم مفرومة ناعمًا.  ,   ملعقة كبيرة (12.5 جم) معجون طماطم.  ,   ملعقة صغيرة (5 جم) بهارات مشكلة.  ,   ملعقة صغيرة (5 جم) كركم.  ,   ثمرة فلفل رومي أخضر مقطعة شرائح رفيعة.  ,   2 قرن فلفل أخضر حار.  ,   6 أكواب (1500 مل) ماء.  ,   ملح حسب الرغبة.      ","      انقعي الأرز الحساوي في الماء لمدة ساعتين على الأقل.  ,   في قدر الضغط، سخني الزيت، ثم أضيفي البصل وقلبي حتى يذبل.  ,   ضعي اللحم، ثم قلبي حتى يتغير لونه، ثم أضيفي الثوم والحبهان والقرنفل واللومي الأسود والقرفة، وقلبي حتى تفوح رائحتهم.  ,   أضيفي الطماطم المفرومة ومعجون الطماطم، وانتظري خمس دقائق حتى تتسبك الطماطم، ثم أضيفي البهارات المشكلة والكركم والفلفل الرومي الأخضر والفلفل الحار.  ,   أضيفي الماء، ثم أغلقي قدر الضغط، واتركيها على النار من 15 إلى 20 دقيقة.  ,   صفي الأرز الحساوي، ثم ضعيه مع اللحم، وتأكدي من وجود كمية مرق تكفي لطبخ الأرز، ثلاثة أكواب ماء لكل كوب أرز على الأقل.  ,   أضيفي الملح، ثم أغلقي قدر الضغط، واتركيها على النار من 30 إلى 40 دقيقة، أو حتى ينضج الأرز، ثم قدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/895/mobile-watermarked-large-card/0b575d3df30d8c5b.jpg
      مكرونة بالدجاج والشطة          ,غداء,    4 أشخاص    ,    30 دقيقة    ,    782 سعرة حرارية    ,"       ½ كيلو مكرونة شرائط.  ,   3 صدور دجاج مخلية من العظم والجلد.  ,   1 حبة فلفل أحمر حلو صغيرة الحجم.  ,   1 حبة فلفل أصفر حلو صغيرة الحجم.  ,   2 حبة فلفل أخضر حار كبيرة الحجم.  ,   8 حبات طماطم صغيرة جداً.  ,   2 ملعقة كبيرة زيت زيتون.  ,   1 ملعقة صغيرة ثوم مفرى ناعماً.  ,   1 ملعقة كبيرة بقدونس مفرى ناعماً.  ,   1 ملعقة صغيرة ريحان جاف.  ,   ¼ ملعقة صغيرة مردقوش جاف.  ,    ¼ ملعقة صغيرة مريمية جافة.  ,   1 ½ ملعقة صغيرة ملح.  ,    ¾ ملعقة صغيرة فلفل أسود.  ,   1 ملعقة كبيرة سمسم مُحمص.      ","      تُسلق المكرونة فى كمية من الماء المَغلى المخلوط بالقليل من الملح والزيت، مع الحرص على عدم المبالغة فى إنضاجها.  ,   تُغسل صدور الدجاج وتجفف جيداً بورق المطبخ، ثم تقطع إلى شرائح طويلة ورفيعة.  ,   تُغسل حبات الفلفل الحار والحلو وتجفف بورق المطبخ، ثم تقطع إلى نصفين ويزال منها القُمع والبذور، وتقطع إلى شرائح رفيعة وطويلة.  ,   سخني الزيت فى مقلاة كبيرة الحجم على نار متوسطة، ويضاف إليه الثوم المفرى ويقلب به لمدة دقيقة.  ,   ضيفي شرائح الدجاج إلى الثوم، وتقلب به لمدة دقيقتين.  ,   ضيفي الريحان والمردقوش والمريمية والفلفل الأسود إلى الخليط، ويقلب جيداً ويترك لحوالى 7 دقائق أو حتى تُحمر مكعبات الدجاج قليلاً.  ,   ضيفي شرائح الفلفل الحلو والحار والبقدونس المفرى والملح و½ كوب من ماء سلق المعكرونة إلى الخليط، وتقلب المكونات جيداً، ثم تُغطى المقلاة وتترك على النار لمدة 3 دقائق.  ,   اغسلي حبات الطماطم وتجفف بورق المطبخ، ثم تقطع إلى نصفين وتضاف إلى الخليط وتقلب به.  ,   صفى المكرونة من ماء السَلق، وتضاف إلى خليط الدجاج وتقلب به جيداً، ثم يترك على النار لمدة 3 دقائق أخرى، ويمكن إضافة القليل من ماء سلق المكرونة فى حالة جفاف الخليط.  ,   ارفعي المكرونة الحارة من على النار، وتُسكب فى صحن التقديم، ثم تُنثر عليها حبات السمسم وأوراق البقدونس، وتقدم.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/039/088/mobile-watermarked-large-card/%25D8%25A7%25D9%2584%25D9%2585%25D9%2583%25D8%25B1%25D9%2588%25D9%2586%25D8%25A9%2520%25D8%25A7%25D9%2584%25D8%25AD%25D8%25A7%25D8%25B1%25D8%25A9%2520%25D8%25A8%25D8%25A7%25D9%2584%25D8%25AF%25D8%25AC%25D8%25A7%25D8%25AC.jpg
      سلطة المكرونة مع التونة          ,غداء,    4 أشخاص    ,    20 دقيقة    ,    578 سعرة حرارية    ,"      350 جرام مكرونة فيونكات  ,   1 علبة تونة، مصفاه  ,   1 ملعقة كبيرة كيبر، مصفى  ,   15 فلفل مخلل، مقطع  ,   1  قلب الكرفس، مقطع إلى شرائح  ,   140 جرام خليط من الطماطم الصغيرة باللون الأصفر والأحمر، مقطعة إلى النصف  ,   75 مل خل البلسميك -متوفر فى السوبرماركت-  ,   3 ملاعق كبيرة زيت زيتون  ,   100 جرام جرجير  ,   حفنة جيدة من أوراق الريحان       ","      اطهي المكرونة بحسب تعليمات الكيس، ثم صفيها وإشطفيها فى ماء بارد. صفيها مرة أخرى، وانقليها إلى وعاء كبير.   ,   اضيفى المكونات المتبقية ما عدا الريحان، تبلى المزيج بشكل جيد، ثم اخلطيه جيداً.  ,   بعثرى أوراق الريحان على الوجه وقدميها.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/035/258/mobile-watermarked-large-card/%25D8%25B3%25D9%2584%25D8%25B7%25D8%25A9-%25D8%25A7%25D9%2584%25D9%2585%25D9%2583%25D8%25B1%25D9%2588%25D9%2586%25D8%25A9-%25D9%2585%25D8%25B9%2520%25D8%25A7%25D9%2584%25D8%25AA%25D9%2588%25D9%2586%25D8%25A9.jpg
      بطاطا حلوة بالبشاميل          ,فطار,    4 أشخاص    ,    35 دقيقة    ,    555 سعرة حرارية    ,"      كيلو ونصف بطاطا  ,   نصف كيلو لبن (حليب)  ,   نصف كوب دقيق  ,   2 معلقة سمن  ,   كوب سكر  ,   مكسرات  ,   فانيليا      ",      اغسلي البطاطا جيداً ثم تسلق وتقشر وتقطع حلقات وتترك جانباً      ,https://www.supermama.me/system/App/Entities/Recipe/images/000/041/018/mobile-watermarked-large-card/%25D8%25A8%25D8%25B7%25D8%25A7%25D8%25B7%25D8%25A7-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B4%25D8%25A7%25D9%2585%25D9%258A%25D9%2584.jpg
      عجينة البيتزا السهلة          ,غداء,    12 أشخاص    ,    40 دقيقة    ,    154.61 سعرة حرارية    ,"      ٤٠٠ جرام دقيق  ,   ١ ملعقة صغيرة خميرة فورية  ,   ٣ ملعقة كبيرة زيت زيتون  ,   ١ ملعقة صغيرة ملح  ,   ١ ملعقة صغيرة زعتر  ,   ١ ملعقة صغيرة سكر أبيض  ,   ٢٥٠ ملليلتر ماء دافئ      ","      سخني الفرن.  ,   اخلطي الدقيق والملح والسكر والزعتر والخميرة في إناء كبير.  ,   أضيفي الزيت والماء الدافئ.  ,   اعجني العجين حتى تتماسك.  ,   اتركيها عشر دقائق  ,   افردي العجين في صينية مستديرة.  ,   أضيفي صلصة الطماطم وباقي المكونات.  ,   ضعيها في الفرن على درجة حرارة عالية لمدة ٢٠-٢٥ دقيقة.  ,   قدميها ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/011/202/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25B9%25D8%25AC%25D9%258A%25D9%2586%25D8%25A9-%25D8%25A7%25D9%2584%25D8%25A8%25D9%258A%25D8%25AA%25D8%25B2%25D8%25A7.jpg
      ديك رومي مشوي في الفرن          ,غداء,    6 أشخاص    ,    180 دقيقة    ,    400 سعرة حرارية    ,"      ديك كامل (6 – 8 كيلوجرامات).  ,   كوب (200 جم) زبد مُذاب.  ,   كوب (250 مل) عصير برتقال.  ,   بصلة كبيرة مقطعة شرائح رفيعة.  ,   3 ثمرات كرفس مقطعة شرائح.  ,   2 ملعقة كبيرة (25 جم) زعتر طازج مفروم.  ,   2 ملعقة كبيرة (25 جم) روزماري طازج مفروم.  ,   ملعقة كبيرة (12.5 جم) ثوم مفروم.  ,   ملعقة صغيرة (5 جم) بابريكا.  ,   ملعقة صغيرة (5 جم) السبعة بهارات.  ,   ملعقة صغيرة (5 جم) كاري.  ,   ملح وفلفل أسود.      ","      في وعاء كبير، ضعي الماء والسكر والملح وعصير ثمرة الليمون مع القشر الخاص بها، وقلبي جيدًا.  ,   اغسلي الديك تحت الماء الجاري جيدًا من الداخل والخارج، ثم ضعيه في ماء النقع، واتركيه لمدة 90 دقيقة جانبًا.  ,   ارفعي الديك من ماء النقع، واغسليه جيدًا تحت الماء الجاري، ثم اتركيه جانبًا.  ,   سخني الفرن عند درجة حرارة 220 درجة مئوية لمدة 30 دقيقة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/627/mobile-watermarked-large-card/113627_1639386633.jpg
      الفاهيتا المكسيكية          ,غداء,    6 أشخاص    ,    75 دقيقة    ,    386.41 سعرة حرارية    ,"      كيلو (1000 جم) صدور دجاج مقطعة شرائح رفيعة.  ,   ثمرة فلفل أحمر رومي كبيرة مقطعة شرائح رفيعة.  ,   ثمرة فلفل أصفر رومي كبيرة مقطعة شرائح رفيعة.  ,   ثمرة فلفل أخضر رومي كبيرة مقطعة شرائح رفيعة.  ,   بصلة كبيرة مقطعة شرائح.  ,   3 فصوص ثوم مهروسة.  ,   3 ملاعق كبيرة (45 مل) مرق دجاج.  ,   2 ملعقة كبيرة (30 مل) عصير ليمون.  ,   2 ملعقة كبيرة (30 مل) زيت زيتون.  ,   ملح حسب الرغبة.  ,   خبز تورتيلا وصوص الأفوكادو وشرائح طماطم وخس للتقديم.      ","      ضعي مكونات البهارات في وعاء، وقلبي جيدًا.  ,   ضعي الدجاج في وعاء كبير، ثم أضيفي بهارات الفاهيتا والملح، وقلبي جيدًا حتى تمتزج المكونات.  ,   غطي الوعاء بورق نايلون شفاف، واتركيه جانبًا 30 دقيقة.  ,   سخني نصف كمية الزيت في مقلاة كبيرة على نار متوسطة، ثم أضيفي الدجاج، وقلبيه من دقيقتين إلى ثلاث دقائق.  ,   اخفضي النار، وغطي المقلاة، واتركيها من عشر دقائق إلى 15 دقيقة.  ,   ضعي الدجاج في طبق، وغطيه بورق فويل، واتركيه جانبًا لتحضير الخضار.  ,   أضيفي باقي الزيت في المقلاة نفسها، ثم أضيفي البصل والفلفل الملون والثوم المفروم والملح، وقلبي خمس دقائق.  ,   أضيفي المرق وقلبي، ثم اتركيه دقيقة.  ,   أضيفي الدجاج وقلبي جيدًا، ثم أضيفي عصير الليمون وقلبي جيدًا.  ,   ضعي الفاهيتا في طبق التقديم، وقدميها مع التورتيلا والخس والطماطم وصوص الأفوكادو.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/308/mobile-watermarked-large-card/5c00dafc90e10302.jpg
