index,name,time,no_of_ppl,prep_time,caloaries,main_component,ingredients,prep,img_link
150,      أرز ممرق          ,غداء,4,55,470,مرق دجاج," 1000 مل  مرق دجاج  ,   400 جم  أرز بسمتي منقوع لمدة 30 دقيقة  ,  1 ملعقة كبيرة  زبدة، في درجة حرارة الغرفة  ,   2 ملعقة كبيرة   زيت  ,   1 ملعقة صغيرة   ملح  ,   1 ملعقة صغيرة   فلفل أبيض      ","      على نار متوسطة، ضعي الزيت والزبد، وقلبي جيدًا حتى يذوب الزبد.  ,   صفي الأرز، ثم ضعيه مع الزبد والزيت، وقلبي لمدة دقيقتين.  ,   أضيفي المرق والملح والفلفل الأبيض وقلبي، ثم اتركيه حتى يغلي.  ,   غطي القدر، واتركيه على نار هادئة جدًّا لمدة 40 – 45 دقيقة، حتى ينضج الأرز.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/096/705/mobile-watermarked-large-card/%D8%A3%D8%B1%D8%B2-%D9%85%D9%85%D8%B1%D9%82.jpg
151,      أرز بالمستكة          ,غداء,4,60,468,ارز و مرق دجاج," 400 جم  أرز أبيض مغسول  ,   560 مل  مرق دجاج  ,   2 ملعقة كبيرة زيت  ,  1 ملعقة كبيرة   سمن  ,   1 ملعقة صغيرة   مستكة  ,   1 ملعقة صغيرة  حبهان مطحون  ,  1 ملعقة صغيرة   ملح  ,  1 ملعقة صغيرة   فلفل أبيض      ","      انقعي الأرز في الماء لمدة 30 دقيقة، ثم صفيه جيدًا من الماء.  ,   على نار متوسطة، ضعي الزيت والسمن، واتركيهما حتى يذوب السمن.  ,   أضيفي المستكة، وقلبي لمدة دقيقة، ثم أضيفي الأرز والحبهان والملح والفلفل الأبيض وقلبي لمدة دقيقة.  ,   أضيفي المرق، واتركيه حتى يغلي، ثم غطي القدر واتركيه على نار هادئة جدًّا لمدة 40 دقيقة حتى ينضج الأرز.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/098/168/mobile-watermarked-large-card/%D8%A3%D8%B1%D8%B2-%D8%A8%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%83%D8%A9.jpg
152,      الأرز بالزعفران          ,غداء,4,50,454.99,ارز و مرق دجاج,"  400 جم  أرز بسمتي مغسول.  ,   810 مل  مرق دجاج أو مرق خضار.  ,    150 جم  بصل أصفر مفروم ناعمًا.  ,   1 ملعقة صغيرة  زعفران.  ,  60 مل  ماء مغلي.  ,   2 ملعقة كبيرة زيت زيتون.  ,   1 ملعقة صغيرة  ملح.      ","      ضعي الزعفران في وعاء صغير، ثم أضيفي الماء المغلي، وقلبي جيدًا، ثم اتركيه جانبًا لمدة خمس دقائق.  ,   سخني الزيت في قدر كبير على نار متوسطة، ثم أضيفي البصل وقلبيه لمدة ثماني إلى عشر دقائق حتى يتكرمل.  ,   أضيفي الأرز وقلبي لمدة دقيقة، ثم أضيفي خليط الزعفران والمرق والملح، وقلبي جيدًا، واتركيه حتى يغلي.  ,   غطي القدر، واتركيه على نار هادئة مدة 30 دقيقة حتى ينضج.  ,   ضعي الأرز في أطباق التقديم، وقدميه ساخنًا مع الدجاج والسلطات.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/109/965/mobile-watermarked-large-card/%D8%A7%D9%84%D8%A3%D8%B1%D8%B2-%D8%A8%D8%A7%D9%84%D8%B2%D8%B9%D9%81%D8%B1%D8%A7%D9%86.jpg
153,      الكرشة والفشة          ,غداء,4,30,237,كرشة,"   1000 جم   فشة وكرشة من الجزار      ,   3 فصوص ثوم مفروم  ,   ملح وفلفل وكمون حسب الرغبة  ,   زيت للتحمير / أو سمن  ,   كزبرة مطحونة وورق لورا  ,   بصلة مفرومة  ,  1 ملعقة خل  ,   صلصة  حسب الرغبة   ,   ليمونة      ","      اغسليها جيدًا ثم قطعيها حسب الرغبة  ,   تبليها ببعض الملح والفلفل والبهار والليمون  ,   ضعيها على النار بالتتبلية إلى أن تنضج ويمكنك إضافة البصل والثوم      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/048/828/mobile-watermarked-large-card/%25D8%25A7%25D9%2584%25D9%2581%25D8%25B4%25D8%25A9-%25D9%2588%25D8%25A7%25D9%2584%25D9%2583%25D8%25B1%25D8%25B4%25D8%25A9.jpg
154,      الكوارع          ,غداء,6,105,150,كوارع ," 1500 مل  من الماء المغلي  ,   1000 جم  كوارع مقطعة  ,   بصلة كبيرة مفرومة ناعمًا  ,   بصلة صغيرة مقطعة مكعبات صغيرة  ,  200 جم  فلفل أخضر حار مفروم  ,   4 ثمرات طماطم مقشرة، ومفرومة ناعمًا  ,   6 فصوص ثوم مهروس  ,   2 ملعقة كبيرة  خل أبيض  ,   4 معلقة  كبيرة  زيت  , 1  ملعقة كبيرة  زبدة في درجة حرارة الغرفة  ,  1 ملعقة كبيرة  صلصة طماطم  ,   3 ورقات لورا  ,   عود قرفة  ,   5 حبات حبهان  ,   4 حبات قرنفل  ,  1 ملعقة صغيرة  فلفل أسود حصى  ,   ملح وفلفل أسود      ","      انقعي الكوارع في ماء وخل وملح وعصير ليمون لمدة ساعة.  ,   صفي الكوارع من الماء، واغسليها جيدًا تحت الماء الجاري مرتين.  ,   على نار متوسطة، ضعي الكوارع والملح والفلفل الأسود، ثم غطيها بالماء، واتركيها حتى تغلي.  ,   صفي الكوارع من الماء، واتركيها جانبًا.  ,   على نار متوسطة، ضعي الزبدة ونصف كمية الزيت، واتركيهما حتى تذوب الزبدة.  ,   أضيفي الكوارع، وقلبيها لمدة 5 دقائق، ثم أضيفي ورق اللورا والقرفة والحبهان والقرنفل والفلفل الحصى، وقلبي لمدة دقيقة.  ,   أضيفي البصل المفروم، وقلبي لمدة دقيقتين، ثم أضيفي الماء، واتركيه حتى تغلي.  ,   غطي القدر، واتركي الكوارع على نار هادئة جدًّا لمدة ساعة حتى تنضج.  ,   على نار متوسطة، سخني الزيت، ثم أضيفي مكعبات البصل الصغيرة، وقلبيها حتى تذبل ويصفر لونها.  ,   أضيفي الثوم والفلفل الحار، وقلبي لمدة دقيقة، ثم أضيفي الطماطم المفرومة وصلصة الطماطم والملح والفلفل الأسود، وقلبي لمدة دقيقة.  ,   اتركي الصلصة على النار حتى تغلي، ثم غطي القرد واتركيها على نار هادئة جدًّا لمدة 10 دقائق.  ,   أضيفي الخل واتركيها لمدة دقيقة، ثم أضيفي الكوارع، وكوبًا من شوربة الكوارع، واتركيها على نار هادئة لمدة 15 دقيقة، ثم قدميها ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/048/930/mobile-watermarked-large-card/%D9%83%D9%88%D8%A7%D8%B1%D8%B9.jpg
155,      فتة الكوارع          ,غداء,4,120,1023,كوارع ,"1000 جم  كوارع.  ,  300 جم أرز مصري.  ,  300 مل  عصير طماطم طازج.  ,  300 جم خبز بلدي مقطع مكعبات.  ,   بصلة متوسطة مفرومة فرمًا ناعمًا.  ,   3 معلقة  كبيرة زبد.  ,   6 معلقة  كبيرة زيت.  ,   3 معلقة  كبيرة ثوم.  ,   60 مل خل.  ,   2 ورق لورا.  ,   5 حبات حبهان.  ,   ملح وفلفل أسود.      ","      سخني الفرن عند درجة حرارة 200.  ,   في وعاء كبير ضعي الخبز، و4 ملاعق من الزيت، وملعقة من الثوم، وقلبي جيدًا.  ,   ضعي الخبز في صينية عليها ورق زبد، ثم ضعيها في الفرن لمدة 25 دقيقة، حتى يتحمص.  ,   اغسلي الكوارع جيدًا.  ,   على نار متوسطة ضعي كمية كبيرة من الماء، واتركيه حتى يغلي.  ,   أضيفي الكوارع والملح والفلفل الأسود واللورا والحبهان والبصل المفروم، واتركيه لمدة 60 دقيقة حتى ينضج.  ,   صفي الكوارع من الشوربة، ثم ضعيها في صينية، وضعيها في الفرن عند درجة حرارة 200 لمدة 30 دقيقة.  ,   على نار متوسطة، ضعي الزيت و2 ملعقة من الزبد، وقلبي حتى يذوب الزبد.  ,   أضيفي  الأرز والملح، وقلبي لمدة 5 دقائق، ثم أضيفي 2 كوب من شوربة الكوارع، واتركيها حتى تغلي.  ,   غطي القدر، واتركي الأرز على نار هادئة حتى ينضج.  ,   على نار متوسطة، ذوّبي باقي الزبد، ثم أضيفي الثوم وقلبي لمدة دقيقة.  ,   أضيفي الخل واتركيه يغلي، ثم أضيفي عصير الطماطم، واتركيه يغلي.  ,   غطي القدر، واتركي الصلصة على نار هادئة لمدة 20 دقيقة.  ,   في صينية بايركس، ضعي الخبز، ثم صبي عليه قليلًا من شوربة الكوارع.  ,   ضعي الأرز فوق الخبز، ثم وزعي الصلصة على الأرز، ثم ضعي قطع الكوارع، وقدميها ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/089/481/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D9%2581%25D8%25AA%25D8%25A9-%25D8%25A7%25D9%2584%25D9%2583%25D9%2588%25D8%25A7%25D8%25B1%25D8%25B9.jpg
156,      الكوارع بالثوم          ,غداء,6,120,353,كوارع ,"2000 جم كوارع.  ,   2 ملعقة كبيرة ثوم مفروم.  ,  1 ملعقة كبيرة سمن.  ,  40 مل خل أبيض.  ,   2 ورقة لورا.  ,   5 حبات حبهان  ,   ملح وفلفل أسود.      ","      سخني الفرن عند درجة حرارة 250، ثم ضعي فيه الطاجن ليسخن.  ,   اغسلي الكوارع جيدًا.  ,   على نار متوسطة، ضعي كمية كبيرة من الماء، واتركيه حتى يغلي.  ,   أضيفي الكوارع والملح والفلفل الأسود والحبهان واللورا، واتركيها لمدة 60 دقيقة.  ,   على نار متوسطة، ذوبي السمن، ثم أضيفي الثوم وقلبي لمدة دقيقة.  ,   أضيفي الخل واتركيه حتى يغلي، ثم الكوارع وقلبي لمدة 5 دقائق.  ,   ضعي الكوارع في الطاجن مع خليط الثوم والخل، ثم ضعيها في الفرن لمدة 30 دقيقة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/089/480/mobile-watermarked-large-card/%25D9%2588%25D8%25B5%25D9%2581%25D8%25A9%25201.jpg
157,      ورق العنب بالكوارع          ,غداء,6,120,781.35,كوارع ,"      كارع بقري كبير.   ,   بصلة كبيرة مفرومة ناعمًا.   , 1  ملعقة كبيرة  ثوم مهروس.  , 1 ملعقة كبيرة  زيت.  ,   ساق كرفس كبير مفروم.  ,   ملح وفلفل أسود.  ,   2 ورقة غار  لورا .  ,   ماء مغلي.      ","      اغسلي الكارع تحت الماء الجاري، ثم انقعيه في محلول ملحي مع عصير ليمون وخل أبيض وبيكربونات صودا، واتركيه ساعة.  ,   اغسلي الكارع مرات عدة تحت الماء الجاري، ثم قطعيه إلى قطع متوسطة الحجم.  ,   ضعي كمية من الماء في قدر كبيرة على نار متوسطة، واتركيه حتى يغلي.  ,   أضيفي الكوارع، واتركيها تغلي مع الماء 15 دقيقة، ثم صفيها من الماء، واغسليها مرةً أخرى تحت الماء الجاري.  ,   سخني الزيت في قدر كبيرة على نار متوسطة، ثم أضيفي الكوارع، وقلبيها حتى تُصبح ذهبية اللون.  ,   أضيفي البصل والكرفس والثوم وورق الغار، وقلبي دقيقتين.  ,   أضيفي الملح والفلفل الأسود والماء المغلي، واتركيه حتى يغلي مع الكوارع.  ,   غطي القدر، واتركيها على نار هادئة من ساعتين إلى ثلاث ساعات، حتى تنضج الكوارع.  ,   صفي الكوارع من الشوربة، وتخلصي من العظم، واتركيها جانبًا.  ,   ضعي الأرز والبقدونس والكزبرة والشبت والبصل والطماطم والزيت وصلصة الطماطم والثوم والبهارات السبعة والكزبرة والكمون والسكر والقرفة ومكعب المرق والملح والفلفل الأسود في وعاء كبير، وقلبي جيدًا حتى تمتزج المكونات.  ,   افردي الورقة، ثم ضعي ملعقة من خليط الأرز على طرف الورقة، ثم اثني الطرفين إلى الداخل، ولفي الورقة كالرول.  ,   رصي شرائح البطاطس في قدر كبيرة، ثم وزعي الكوارع المخلية من العظم فوق البطاطس، ثم رصي ورق العنب فوق الكوارع.  ,   ضعي طبقًا فوق ورق العنب، حتى لا ينفتح الورق في أثناء الطهي.  ,   أضيفي عصير الليمون إلى كوبين من مرق الكوارع، وقلبي جيدًا.  ,   صبي المرق فوق ورق العنب حتى يُغطيه، ثم ضعيه على نار متوسطة، واتركيه حتى يغلي.  ,   غطي القدر، واتركيها على نار هادئة جدًا ساعة، حتى ينضج ورق العنب.  ,   اقلبي ورق العنب في طبق التقديم، ثم قدميه ساخنًا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/110/868/mobile-watermarked-large-card/%D9%88%D8%B1%D9%82-%D8%A7%D9%84%D8%B9%D9%86%D8%A8-%D8%A8%D8%A7%D9%84%D9%83%D9%88%D8%A7%D8%B1%D8%B9.jpg
158,      الكرعين بالحمص          ,غداء,6,180,1291.26,حمص و كوارع," 250 جم  حمص منقوع ومصفى.  ,   120  جم  بقدونس صغيرة مفرومة.  ,  200 جم  فلفل أحمر حار.  ,   1500 جم  كرعين  كوارع  مقطعة شرائح سميكة.  ,   4 بصلات متوسطة الحجم مقطعة شرائح.  ,   2 ساق كراث مقطع شرائح.  ,   6 فصوص ثوم.  ,   2 ملعقة كبيرة  زيت زيتون.  ,   2 عود قرفة.  , 1  ملعقة صغيرة   كركم.  ,  1 ملعقة صغيرة   كزبرة جافة مطحونة.  ,   1 ملعقة صغيرة  كمون مطحون.  ,   1 ملعقة صغيرة   زنجبيل.  , 1  ملعقة صغيرة  بابريكا.  ,   ملح وفلفل أسود.      ","      اغسلي الكوارع تحت الماء الجاري، ثم انقعيه في محلول ملحي مع عصير ليمون وخل أبيض وبيكربونات صودا، واتركيه لمدة ساعة، ثم اغسليه عدة مرات تحت الماء الجاري.  ,   ضعي كمية من الماء في قدر كبير على نار متوسطة، واتركيه حتى يغلي.  ,   أضيفي الكوارع، واتركيها تغلي مع الماء لمدة 15 دقيقة، ثم صفيها، واغسليها مرةً أخرى تحت الماء الجاري.  ,   ضعي الكوارع في قدر كبير على نار متوسطة، ثم أضيفي الزيت والقرفة والكركم والكزبرة والكمون والزنجبيل والبابريكا والملح والفلفل الأسود والكراث والثوم والبصل، ثم اغمريها بالماء المغلي.  ,   اتركي الماء يغلي مع الكوارع والبهارات، ثم غطي القدر، واتركيه على نار هادئة لمدة ساعتين حتى تنضج الكوارع.  ,   أضيفي الحمص والفلفل الحار ونصف كمية البقدونس وكوبين من الماء المغلي، وقلبي جيدًا.  ,   غطي القدر واتركيه على نار هادئة لمدة ساعة حتى ينضج الحمص.  ,   ارفعي الكوارع عن النار، ثم أضيفي البقدونس وقلبي جيدًا.  ,   ضعي الكرعين بالحمص في طبق التقديم، وقدميها ساخنة مع الكسكسي أو الأرز.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/111/043/mobile-watermarked-large-card/%D8%A7%D9%84%D9%83%D8%B1%D8%B9%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D8%AD%D9%85%D8%B5.jpg
159,      المندي الأردني          ,غداء,4,120,1314.07,دجاج و ارز بسمتي,"  400 جم  أرز بسمتي.  ,   875 مل  ماء مغلي.  , 1800 جم  دجاج مقطعة ثماني قطع ومغسولة جيدًا.  ,   2 بصلة كبيرة مقطعتان شرائح متوسطة.  , 200 جم  طماطم مقشرة ومقطعة مكعبات صغيرة.  ,   2 فص ثوم.  ,   3 معلقة  كبيرة   زبادي.  ,   3 معلقة  كبيرة    ماء.  ,   4 معلقة  كبيرة    زيت.  ,   1 ملعقة صغيرة    بهارات مشكلة.  ,   1 ملعقة صغيرة   كمون.  ,   1 ملعقة صغيرة   كركم.  ,   1 ملعقة صغيرة   بودرة زعفران.  ,   عود قرفة.  ,   2 ورقة غار  لورا .  ,  1 ملعقة صغيرة  عصير ليمون.  , 1 ملعقة صغيرة خيوط زعفران ,  2 ملعقة كبيرة  ماء ورد.  ,   مكعب مرق دجاج مطحون.  ,   ملح وفلفل أسود.      ","      ضعي الزبادي وملعقتين من الزيت والبهارات والكركم وبودرة الزعفران وعصير الليمون والملح والفلفل الأسود والماء، وقلبي جيدًا حتى تمتزج المكونات.  ,   أضيفي الدجاج، وقلبي جيدًا، وغطي الوعاء بورق نايلون، ثم ضعيه في الثلاجة مدة ساعة.  ,   سخني الفرن عند درجة حرارة 200 درجة مئوية.  ,   سخني باقي الزيت في صينية ألومنيوم أو تيفال على نار متوسطة، ثم أضيفي البصل وقلبي من ثلاث إلى أربع دقائق حتى يذبل.  ,   أضيفي الثوم، وقلبي 30 ثانية، ثم أضيفي الطماطم وعود القرفة وورق الغار والملح والفلفل الأسود، وقلبي جيدًا.  ,   أضيفي مكعب المرق والأرز، وقلبي جيدًا، ثم أضيفي الماء المغلي، واتركي الخليط حتى يغلي على النار.  ,   غطي الصينية بورق قصدير (فويل) جيدًا، ثم اصنعي به عدة فتحات باستخدام سيخ خشبي أو شوكة.  ,   رصي الدجاج فوق الفويل، ثم غطيه بورق فويل آخر جيدًا.  ,   ضعي الصينية في الفرن مدة 90 دقيقة.  ,   صفي خيوط الزعفران من ماء الورد، واحتفظي بالماء جانبًا.  ,   بعد نضج الدجاج والأرز، انقلي الدجاج في صينية، واتركيه مكشوفًا، ثم ضعيه في الفرن 15 دقيقة حتى يحمر الوجه.  ,   أخرجي الأرز، ووزعي ماء الورد بالزعفران على الوجه، ثم ضعي ورقة قصدير في منتصف الأرز، وضعي بها الفحم المشتعل، ثم أضيفي قطرات الزيت إلى الفحم.  ,   غطي الصينية بسرعة بورقة قصدير جديدة، واتركيها جانبًا من ثلاث إلى أربع دقائق.  ,   ارفعي الفحم، وقلبي الأرز، ثم ضعيه في طبق التقديم.  ,   وزعي الدجاج على الوجه، وقدميه ساخنًا مع سلطة الزبادي بالخيار.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/392/mobile-watermarked-large-card/113392_1623099575.jpg
160,      مندي دجاج          ,غداء,6,90,460,دجاج و ارز بسمتي,"1000 جم أرز بسمتي  ,  1  ملعقة زعفران  ,  1 ملعقة قرفة  ,   ورق الغار  اللاوري   ,   حبهان  هيل  حسب الرغبة  ,   ملح   ,   فلفل أسود  ,   بهارات مشكلة  ,   دجاجة  ,   بصل مفروم  ,   مكسرات وزبيب وصنوبر  يتم تشويحها       ","      اغسلي الأرز وانقعيه لنصف ساعة في ماء دافئ.  ,   قطعي الدجاجة إلى ثمانية قطع  ,   شوحي البصل في قدر كبير وعميق إلى أن يصبح لونها ذهبيًا داكنًا  ,   أضيفي الدجاج وقلبيه حتى يصبح ذهبيًا ويبدأ في إنزال دهونه  ,   ضعي القرفة والغار والحبهان والتوابل  ,   ضعي بعض الماء واتركيه على نار هادئة لمدة نصف ساعة حتى تشعري أنه قد نضج تمامًا  ,   في كوب صغير ضعي بعض الماء الدافئ وأذيبي الزعفران.  ,   أضيفي قليل جدًا من الكمية على الدجاج وقلبي.  ,   ارفعيه من النار وضعيه في صينية ولفيه بورق الألومنيوم وضعيه في الفرن.  ,   في قدر آخر، ضعي 6 أكواب من الماء مع قطعتين من مكعبات الدجاج، أو 6 أكواب من المرق (يحتاج البسمتي إلى ماء أكثر من الأرز الأبيض).  ,    تبلي الماء بما تريدين من توابل ويمكنك وضع ليمون مجفف معه  ,    ضعي ملعقة من الزعفران على الماء  ,    بعد الغليان أضيفي الأرز بعد تصفيته، ثم بعد الغليان اتركيه على نار هادئة  ,   قرب النضح ضعي بقية كمية الزعفران على جانب واحد من القدر، وبذلك يكون جميع الأرز أصفر عدا بعض الأرز يصبح برتقالي اللون  ,    قبل التقديم قلبي الأرز جيدًا لتتناغم الألوان  ,    ضعي الأرز والدجاج عليه وزينيه بالمكسرات.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/046/542/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D9%2585%25D9%2586%25D8%25AF%25D9%258A-%25D8%25A7%25D9%2584%25D8%25AF%25D8%25AC%25D8%25A7%25D8%25AC.jpg
161,      مندي اللحم          ,غداء,8,50,458,لحم,"1000 جم  لحم   ,   4حبات طماطم  ,   4 حبات بصل يقطع شرائح  ,   فلفل أسود نصف ملعقة  ,   ملح وبهارات حسب الرغبه  ,   فنجان زيت  ,   حبهان  ,   زعتر  اختياري   ,   فحم      ","      اغسلي اللحم وقطعيه إلى قطع كبيرة ثم صفيه من الماء تماماً  ,   ضعي اللحم في القدر وارفعيه على نار هادئة حتى ينشف ماتم به من الماء مع ملاحظة تغطية القدر  ,   اضيفي إليه البصلة بعد تقشيرها و8 كأسات ماء ساخن واتركيه على النار لمدة نصف ساعة ثم أضيفي الحبهان والملح اللازم واتركيه على النار حتى يكمل نضجه  ,   اغسلي الأرز واتركيه حتى ينقع لمدة نصف ساعة  ,   عندما ينضج اللحم انشليه من المرق وصفي المرق بصافية سلك وأعيديه إلى القدر  ,   اخلطي الفلفل الأسود مع الزعفران وملعقة طعام زيت وقليل من الملح وتبلي بها اللحم ولفيه في ورق فويل وأدخليه الفرن لمدة ربع ساعة حتى يتحمر  ,   صفي الأرز من ماء النقع وضعيه في مرق اللحم المغلي سابقاً واتركيه حتى ينضج ويشرب ماؤه  ,   اضيفي الزعفران إلي اﻷرز  ,   اشعلي قطعة الفحم حتى تصبح جمراً  ,   اعملي حفرة في الأرز وخذي قطعة من الفويل لتضعي بها الفحم المشتعل وصبي على الفحم الزيت وغطي القدر بسرعة  ,   اتركي القدر على النار لمدة عشر دقائق حتى يستوي الأرز  ,   اغرفي الأرز في صحن التقديم وضعي اللحم عليه و قدميه بالهناء و الشفاء.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/043/153/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D9%2585%25D9%2586%25D8%25AF%25D9%258A-%25D8%25A7%25D9%2584%25D9%2584%25D8%25AD%25D9%2585_0.jpg
162,      الدقوس اليمني          ,غداء,4,10,32.3,كزبره,"  50 جم  أوراق كزبرة طازجة.  ,   1 ملعقة كبيرة  أوراق نعناع طازج.  ,   2 قرن فلفل أخضر حار.  ,   62.5 مل  ماء.  ,   ملح حسب الرغبة.      ","      ضعي الكزبرة والنعناع والفلفل الأخضر الحار والملح في محضر الطعام، وافرمي المكونات جيدًا.  ,   أضيفي الماء بالتدريج في أثناء الخفق حتى يصبح لديكِ صلصة ناعمة.  ,   قدمي القدوس الأخضر مع المندي والشفوت اليمني.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/108/115/mobile-watermarked-large-card/%D8%A7%D9%84%D8%AF%D9%82%D9%88%D8%B3-%D8%A7%D9%84%D9%8A%D9%85%D9%86%D9%8A.jpg
163,      سلطة الدقوس          ,غداء,8,10,12,طماطم,"      3 ثمرات طماطم متوسطة الحجم.  ,   200 جم  فلفل أخضر حار.  ,   80 جم  كزبرة خضراء.  ,  1 ملعقة كبيرة عصير ليمون.  ,   2 فص ثوم مهروس.  ,   ملح وفلفل أسود.      ","      قشري الطماطم ثم ضعيها في محضر الطعام.  ,   أضيفي باقي المقادير ثم اهرسيه جيدًا.  ,   ضعي في أطباق التقديم وزينيه بأوراق الكزبرة.  ,   قدميه مع الأرز البخاري والمندي.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/090/104/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25B5%25D9%2588%25D8%25B5-%25D8%25A7%25D9%2584%25D8%25AF%25D9%2582%25D9%2588%25D8%25B3.jpg
164,      الدقوس البارد          ,غداء,4,10,133.91,طماطم," 300 جم  طماطم مقشرة ومقطعة مكعبات صغيرة.  ,   50 جم  فلفل أخضر حار أو رومي مفروم.  ,   50 جم  بصل أخضر مفروم.  ,   3 معلقة  كبيرة  كزبرة خضراء مفرومة.  ,  1 ملعقة كبيرة  نعناع طازج مفروم.  , 1  ملعقة صغيرة   ثوم مفروم.  , 1  ملعقة صغيرة  بابريكا.  ,  1 ملعقة صغيرة   كمون.  ,   1 ملعقة صغيرة  فلفل أحمر حار.  ,   ملح وفلفل حسب الرغبة.  ,   3 معلقة  كبيرة خل أو عصير ليمون.  ,   3 معلقة  كبيرة زيت زيتون.      ","      ضعي الفلفل الأخضر الحار أو الرومي والبصل الأخضر والكزبرة والثوم والنعناع في محضر الطعام، وافرمي حتى تصبح المكونات مثل المعجون.  ,   أضيفي الطماطم والبهارات والخل أو عصير الليمون وزيت الزيتون، واخفقي حتى تحصلي على صلصة ناعمة.  ,   قدمي الدقوس مع الكبسة أو المندي أو المجبوس.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/108/113/mobile-watermarked-large-card/%D8%A7%D9%84%D8%AF%D9%82%D9%88%D8%B3-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D8%AF.jpg
165,      فطير مشلتت محشي          ,غداء,6,45,328,دقيق,"  450 جم  دقيق متعدد الاستخدامات.  ,   250 مل  ماء.  ,  1 ملعقة كبيرة  سكر.  ,   رشة ملح.  ,   سمن مذاب.  ,   قشدة، كاسترد.      ","      اخلطي الدقيق والملح والسكر وقلبي جيدًا، ثم أضيفي الماء تدريجيًا.  ,   اعجني سبع دقائق حتى تحصلي على عجينة ناعمة مطاطية، واتركيها ترتاح ربع ساعة.  ,   قسمي العجينة إلى كرات متساوية الحجم، وادهني الكرات بالسمن واتركيها ترتاح نصف ساعة.  ,   جهزي الكاسترد حسب إرشادات العبوة، لكن خففي مقدار السائل قليلًا، حتى تحصلي على قوام ثقيل قليلًا.  ,   ادهني سطح أملس بالسمن المذاب، وافردي كرة من كرات العجين ورققيها جيدًا، ثم اطويها فوق بعضها بعضًا (كًتطبيق قطعة ملابس)، ثم ضعيها في صينية مناسبة مدهونة بالزيت، واتركيها ترتاح قليلًا، ثم افرديها في الصينية.  ,   كرري الخطوة مع باقي الكرات، وافردي نصف كمية الكرات في الصينية، ثم ضعي الكاسترد ووزعيه جيدًا، ووزعي فوقه قطع قشدة، ثم ضعي الطبقات المرققة المتبقية.  ,   اخبزيها في فرن مسخن مسبقًا على درجة حرارة مرتفعة مدة 20 دقيقة، أو حتى تمام النضج.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/109/596/mobile-watermarked-large-card/%D9%81%D8%B7%D9%8A%D8%B1-%D9%85%D8%B4%D9%84%D8%AA%D8%AA-%D9%85%D8%AD%D8%B4%D9%8A.jpg
